127.0.0.1 - - [27/Aug/2019:09:32:27 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:32:27 +0900] "GET /CSSEx/css/01basics/01.usingcss.html HTTP/1.1" 200 696
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:32:27 +0900] "GET /CSSEx/css/css/usingcss.css HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:32:27 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:37:31 +0900] "GET /CSSEx/css/01basics/01.usingcss.html HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:43:53 +0900] "GET /CSSEx/css/01basics/01.usingcss.html HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:44:31 +0900] "GET /CSSEx/css/01basics/01.usingcss.html HTTP/1.1" 200 412
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:44:39 +0900] "GET /CSSEx/css/01basics/01.usingcss.html HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:45:34 +0900] "GET /CSSEx/css/01basics/01.usingcss.html HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:45:49 +0900] "GET /CSSEx/css/01basics/01.usingcss.html HTTP/1.1" 200 432
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:46:40 +0900] "GET /CSSEx/css/01basics/01.usingcss.html HTTP/1.1" 200 461
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:48:49 +0900] "GET /CSSEx/css/01basics/01.usingcss.html HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:52:37 +0900] "GET /CSSEx/css/01basics/01.usingcss.html HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:52:52 +0900] "GET /CSSEx/css/01basics/01.usingcss.html HTTP/1.1" 200 551
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:54:32 +0900] "GET /CSSEx/css/01basics/01.usingcss.html HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [27/Aug/2019:10:11:43 +0900] "GET /CSSEx/css/01basics/01.usingcss.html HTTP/1.1" 200 653
0:0:0:0:0:0:0:1 - - [27/Aug/2019:10:11:43 +0900] "GET /CSSEx/css/01basics/mycss.css HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [27/Aug/2019:11:18:46 +0900] "GET /CSSEx/css/02selector/02.pseudo.html HTTP/1.1" 200 717
0:0:0:0:0:0:0:1 - - [27/Aug/2019:13:40:47 +0900] "GET /CSSEx/css/09positioning/01.position_fixed.html HTTP/1.1" 200 877
0:0:0:0:0:0:0:1 - - [27/Aug/2019:13:57:35 +0900] "GET /CSSEx/css/09positioning/01.position_fixed.html HTTP/1.1" 200 912
0:0:0:0:0:0:0:1 - - [27/Aug/2019:13:57:35 +0900] "GET /CSSEx/css/09positioning/01.position_fixed.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2019:13:58:03 +0900] "GET /CSSEx/css/09positioning/01.position_fixed.html HTTP/1.1" 200 945
0:0:0:0:0:0:0:1 - - [27/Aug/2019:13:59:04 +0900] "GET /CSSEx/css/09positioning/01.position_fixed.html HTTP/1.1" 200 993
0:0:0:0:0:0:0:1 - - [27/Aug/2019:13:59:25 +0900] "GET /CSSEx/css/09positioning/01.position_fixed.html HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [27/Aug/2019:14:09:03 +0900] "GET /CSSEx/css/09positioning/02.visible_overflow.html HTTP/1.1" 200 888
0:0:0:0:0:0:0:1 - - [27/Aug/2019:14:16:01 +0900] "GET /CSSEx/css/09positioning/02.visible_overflow.html HTTP/1.1" 200 1015
0:0:0:0:0:0:0:1 - - [27/Aug/2019:14:16:01 +0900] "GET /CSSEx/css/09positioning/02.visible_overflow.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2019:14:46:19 +0900] "GET /CSSEx/css/09positioning/03.float.html HTTP/1.1" 200 588
0:0:0:0:0:0:0:1 - - [27/Aug/2019:15:08:11 +0900] "GET /CSSEx/css/09positioning/03.float.html HTTP/1.1" 200 1188
0:0:0:0:0:0:0:1 - - [27/Aug/2019:15:25:28 +0900] "GET /CSSEx/css/09positioning/layout.html HTTP/1.1" 200 1201
0:0:0:0:0:0:0:1 - - [27/Aug/2019:15:25:35 +0900] "GET /CSSEx/css/12ResponseWebDesign/02.mediaquery.html HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [27/Aug/2019:15:25:51 +0900] "GET /CSSEx/css/12ResponseWebDesign/03.resopnsivelayout.html HTTP/1.1" 200 1780
