127.0.0.1 - - [06/Sep/2019:09:50:04 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [06/Sep/2019:09:50:05 +0900] "GET /workshop_0906/index.html HTTP/1.1" 200 4207
0:0:0:0:0:0:0:1 - - [06/Sep/2019:09:50:05 +0900] "GET /workshop_0906/layout.css HTTP/1.1" 200 4616
0:0:0:0:0:0:0:1 - - [06/Sep/2019:09:50:05 +0900] "GET /workshop_0906/img/movie_image.jpg HTTP/1.1" 200 98467
0:0:0:0:0:0:0:1 - - [06/Sep/2019:09:50:05 +0900] "GET /workshop_0906/img/movie_image3.jpg HTTP/1.1" 200 78811
0:0:0:0:0:0:0:1 - - [06/Sep/2019:09:50:05 +0900] "GET /workshop_0906/img/jack.jpg HTTP/1.1" 200 7239
0:0:0:0:0:0:0:1 - - [06/Sep/2019:09:50:05 +0900] "GET /workshop_0906/img/movie_image2.jpg HTTP/1.1" 200 60672
0:0:0:0:0:0:0:1 - - [06/Sep/2019:09:50:05 +0900] "GET /workshop_0906/img/jackie.jpg HTTP/1.1" 200 8272
0:0:0:0:0:0:0:1 - - [06/Sep/2019:09:50:05 +0900] "GET /workshop_0906/img/angelina.jpg HTTP/1.1" 200 8549
0:0:0:0:0:0:0:1 - - [06/Sep/2019:09:50:05 +0900] "GET /workshop_0906/media/KungFuPanda_Sample.mp4 HTTP/1.1" 206 5202672
0:0:0:0:0:0:0:1 - - [06/Sep/2019:09:50:05 +0900] "GET /workshop_0906/img/intro_background.png HTTP/1.1" 200 2887
0:0:0:0:0:0:0:1 - - [06/Sep/2019:09:50:05 +0900] "GET /workshop_0906/img/nav_background.png HTTP/1.1" 200 2807
0:0:0:0:0:0:0:1 - - [06/Sep/2019:09:50:05 +0900] "GET /workshop_0906/img/sidebar_background.png HTTP/1.1" 200 2834
0:0:0:0:0:0:0:1 - - [06/Sep/2019:09:50:05 +0900] "GET /workshop_0906/img/sidebar_section_background.png HTTP/1.1" 200 2856
0:0:0:0:0:0:0:1 - - [06/Sep/2019:09:50:05 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [06/Sep/2019:09:50:58 +0900] "GET /workshop_0906/media/KungFuPanda_Sample.mp4 HTTP/1.1" 206 5202672
0:0:0:0:0:0:0:1 - - [06/Sep/2019:09:54:16 +0900] "GET /workshop_0906/menu_test.html HTTP/1.1" 200 1803
0:0:0:0:0:0:0:1 - - [06/Sep/2019:09:54:16 +0900] "GET /workshop_0906/img/nav_background.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2019:09:57:18 +0900] "GET /workshop_0906/index.html HTTP/1.1" 200 5589
0:0:0:0:0:0:0:1 - - [06/Sep/2019:09:57:19 +0900] "GET /workshop_0906/layout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2019:09:57:19 +0900] "GET /workshop_0906/img/movie_image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2019:09:57:19 +0900] "GET /workshop_0906/img/movie_image3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2019:09:57:19 +0900] "GET /workshop_0906/img/jack.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2019:09:57:19 +0900] "GET /workshop_0906/img/jackie.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2019:09:57:19 +0900] "GET /workshop_0906/img/movie_image2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2019:09:57:19 +0900] "GET /workshop_0906/img/angelina.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2019:09:57:19 +0900] "GET /workshop_0906/img/nav_background.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2019:09:57:19 +0900] "GET /workshop_0906/media/KungFuPanda_Sample.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2019:09:57:19 +0900] "GET /workshop_0906/img/intro_background.png HTTP/1.1" 304 -
